"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"East Asia & Pacific","EAS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","142.846154532911","156.276516450427","174.886182004919","193.671263651331","212.953239960052","223.967988559205","243.152593443437","276.680276877863","304.033352272393","333.206934800096","392.71835971887","499.562288403349","605.743352462536","705.082900919285","729.924798184339","788.558883839281","930.80442826853","1129.81340395457","1282.52850522735","1334.91807764629","1285.90169842402","1248.53609500294","1289.84344458378","1381.75675593276","1584.51487488987","1927.04809513665","2461.77807342904","2650.59230369871","2758.31911426823","2860.83159336718","3060.61694355643","3322.03011123694","3636.9728453943","4098.05740618999","4305.12829432558","4177.18401955056","3659.56490301702","3622.35027716153","3833.37104933551","3917.82523693271","3872.14810709938","4052.4285062572","4555.64811149819","4984.87067267564","5271.27625913511","5640.9909700518","6150.61516228251","6506.13758802124","7323.39353415379","8125.83540804049","9094.18261370923","9700.17855056315","9921.31682052577","9802.54255199561","9860.71260384253","10168.7195115204","",
"East Asia & Pacific","EAS","GNI, PPP (constant 2011 international $)","NY.GNP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11633271720414.4","12355213173255.5","12942435817755.8","13122399383927.8","13718460010096.8","14577632483980.1","15132146482881.1","15915049998089.8","16853618333797.1","17979070655910.3","19095244439062.2","20604127382353.5","22429362150052.6","23591163161613.5","24308217536504.5","26331436940602.1","27983597923436.7","29655382999470","31254987702110","33042210065592.6","34623206726291.8","36325798673676.5","38499201686997.6","",
"East Asia & Pacific","EAS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5798323676620.81","6316800630399.59","6814519602584.05","7376113120999.16","8012680847410.69","8679906696652","9405262595999.96","10019492494260.2","10101198153964.3","10670394294272.4","11629027368356.8","12379286860844.6","13270194087552.5","14272150482645.9","15620768389076.3","17070360928111.8","18968961188170.3","21177709188736.5","22728311711315.3","23658969042938.9","25887932923817.2","27983597923436.7","30197397691977.9","32440514253030.2","34809438782512.1","36917421718385.5","39163704595430.5","42000027080248.7","",
"East Asia & Pacific","EAS","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0971669213733","3.53477835100303","0.489941017022559","3.08369762766587","5.12037670485724","2.65700872943395","3.53277812387655","4.39159065202308","5.26059768891045","4.75633020131485","5.93805370751051","6.69852316715196","3.33947180282914","0.874329356858453","7.06005993075263","4.44592965725636","4.87635568111271","4.70032389981421","4.55195577958365","4.04466465969982","3.92070161249083","","",
"East Asia & Pacific","EAS","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9305624365757.83","9779947572756.49","10125647042297.7","10175256740396.9","10489030891109.4","11026108785423.1","11319073458368.6","11718951209331.4","12233599575155.5","12877160031676.7","13489640283335","14290662368309.4","15247925697790.1","15757125876984.1","15894895054323.7","17017084171089.2","17773651763052","18640358240540.7","19516515453931.9","20404898607110.5","21230208329919.8","22062581450246.2","","",
"East Asia & Pacific","EAS","GNI (current LCU)","NY.GNP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","GNI (current US$)","NY.GNP.MKTP.CD","148903666503.156","149244405592.88","152444414023.483","170003437303.165","195753901772.766","220641977126.145","247078337607.293","268050219831.753","296439255249.43","341538305527.488","403236827992.206","448232380299.666","556843528191.192","734006036906.111","842649080119.096","923539989991.079","1014962050133.61","1209141441807.11","1526719568479.37","1657354881483.28","1785813464256.01","1971183527285.91","1929423255228.66","2052034711258.38","2201573518629.77","2337640094210.68","3047154519803.75","3565375539967.49","4314511168906.51","4531051484869.73","4739764306054.89","5336083144531.37","5833223267600.6","6559490422158.55","7321303724126","8303807054056.04","8000783856842","7660768119246.93","6868686485934.25","7669463223057.32","8313537628227.8","7736936782750.39","7854022827008.07","8645267857199.96","9702938695649.65","10325722072288.9","10983576802939.4","12301362239860.8","14209043147151","14604737076658.1","17017084171089.2","19696001782463.4","21117097306985.9","21311655883939.5","22048557633712.9","21886545522305.5","22598154086381.7","24090003159571.5","",
"East Asia & Pacific","EAS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","151137784563.159","169372088304.814","193982374452.084","219942890835.489","248206882203.774","267464608254.354","297489285406.349","347618439035.124","391996152233.634","440839725103.98","532083429141.77","691958775480.979","857250832129.817","1016951977038.53","1070461840542.83","1174504893039.31","1407588109397.71","1734779385730.77","1998489248228.09","2111662216641.26","2067458757543.86","2039715742880.81","2138961715603.79","2326194920028.33","2709878660015.56","3349844391749.85","4349241477940.38","4756377603142.76","5024327979824.98","5285613936455.8","5729097265752.36","6296348190860.77","6978705578582.74","7958053899809.75","8457933129143.9","8299087235912.59","7348911026832.65","7346463983241.16","7847442395222.66","8092347370681.21","8065482547459.18","8508224261444.86","9637704911129.88","10624533439186.3","11317539834164.6","12196321547005.1","13392462164376.8","14263686265141.8","16163864816989.9","18055078593040.4","20344354911101.3","21847648739366.2","22498738320226.4","22379918722220.7","22666891444151.4","23534155113312.6","",
"East Asia & Pacific","EAS","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
