"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Latin America & Caribbean (excluding high income)","LAC","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","24.5789697503984","23.8625675023521","21.734748381829","20.3363689892641","21.0404388018081","20.8642527668916","19.8885548119035","19.5470943325225","19.5100446227464","19.174157807395","20.635711878359","19.3977934581005","19.2574401161718","21.0839982779885","26.3916956069272","23.9707515058969","22.6040062496573","23.5209330525281","22.751751268884","23.9546560806586","26.8465808318365","25.1455971022702","23.7943826676465","25.5356107243412","26.8020349303986","25.5304898540454","24.4223261727966","25.6041926793894","26.1365518978802","24.3203490556782","23.5593120141494","20.0435622085079","25.202473101781","23.1885583180191","23.5415381184553","25.6206557197445","26.2748291970607","27.6590587172115","28.3370527193863","33.2597996949745","35.2539622149542","35.0320798475553","35.9278387389233","37.5476042764659","39.8254147191635","38.8221395966032","39.1048257961418","38.0227191148301","38.7864405319425","31.5950117643811","32.5474246328389","35.4154078504099","36.3648126117078","36.0648462833439","34.7581342621451","39.021986067609","37.7509932314183","37.7418056608642","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.51489111258528","7.164152304536","6.54838426753403","5.47850103850453","4.96132817198809","4.95506791921942","4.90930210641143","4.93168626153735","4.9158166194629","4.76706041619522","4.88372332841344","4.61882878200596","4.57953412929799","4.33493190104815","5.20148204040682","4.95140084616168","4.905185325547","5.07713540613092","5.46781794356744","5.52637342876244","5.21671448371224","5.42909864583241","5.65700505674578","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13249119557.0906","15689504400.1799","16793000566.6439","17226930880.614","15370160506.4157","18022982709.552","17809656908.12","17178822038.1712","17390116165.3038","20075989589.0473","24132227327.7036","27043616598.6751","32043567049.3805","36330399821.0133","34475481185.7049","41964232653.1165","50215979403.6498","54746206756.345","60722783042.7489","62047333102.2115","51896072465.499","49120805372.5841","57483868459.7103","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11102535188.8102","13273535307.9672","13650924113.7272","14237809086.0557","12429348980.683","14366984807.868","14113025520.449","13588853551.2162","13741229123.6676","15842996186.3473","19110944296.855","21326485120.2984","25126731897.2364","28773587264.5734","27277259143.1006","33437295618.736","39952976680.473","42915767311.2181","47905965725.2866","49333115336.8664","41406538057.9444","38971576410.171","45086379161.6804","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14867000000","16591000000","17949000000","19191000000","20063000000","22243000000","22204000000","22543000000","24767000000","28309000000","32027000000","34550000000","37445000000","40671000000","37443000000","38889000000","40839000000","43953000000","47198000000","52689000000","55023000000","58879000000","62637835683.167","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2141833769.46515","2396839490.89222","3192538237.86863","3025820405.16881","2952573474.11972","3666774304.1259","3707527561.1876","3600550261.40065","3659642484.14011","4250203520.46038","5041698104.54419","5740375669.10271","6944956988.43645","7587536354.38079","7227487916.00245","8561605075.77259","10304729101.8025","11878538564.7424","12868926762.0947","12709811871.4799","10485899439.5095","10145711921.3771","12428868302.1981","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1950123284.0594","2004530443.5162","2144792353.338","2262965773.42408","2334823504.38283","2388743175.72587","2244279150.61809","2162890967.45878","2311424401.72453","2570880503.83347","3067141778.50217","3339673644.48724","3599026787.8255","3975032218.34212","3373032286.18696","2955637429.85773","3330201437.58485","3526826978.15064","4050569717.18163","4000420801.41565","4405003476.596","4476191656.2846","4345685178.79608","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33458669021029","8.30249395924673","8.10543160758774","7.36894644574291","7.21417295796338","6.61010063094833","6.88361034568447","6.87887742241819","6.99911971538586","6.56991393466736","6.18314763429436","5.75384246879054","5.57284300057847","5.20176739968298","6.06922627946128","4.94001183443914","4.2228991522129","4.41542625414776","4.78043776746149","5.37295735215709","6.44768932579074","7.05753231282073","6.83665939019686","",
