"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Least developed countries: UN classification","LDC","Number of maternal deaths","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196000","197000","198000","198000","198000","197000","196000","195000","193000","191000","188000","186000","182000","178000","174000","169000","165000","162000","158000","154000","151000","148000","145000","141000","138000","135000","","","",
"Least developed countries: UN classification","LDC","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8845480323846","","","","","",
"Least developed countries: UN classification","LDC","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.5035089042464","","","","",
"Least developed countries: UN classification","LDC","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.368412712534","","","","","","","","","","198.426269361283","183.802822158235","179.563905631912","171.452841902685","166.020247669328","169.584074516779","168.618161247086","167.914047843726","",
"Least developed countries: UN classification","LDC","Specialist surgical workforce (per 100,000 population)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4602321866983","","","","",
"Least developed countries: UN classification","LDC","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0877605630362399","","","","","","","","","","0.139264146389596","","","","","","","","","","","","","0.213478341060806","","","","","",
"Least developed countries: UN classification","LDC","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59219011569724","","","","","",
"Least developed countries: UN classification","LDC","Community health workers (per 1,000 people)","SH.MED.CMHW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.27675370403793","","","","","","","","","","1.00051215650172","","","","","","","","","","","","","","","","","","","","0.730120424532465","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","15.9996511718337","18.7650774826079","19.0617557484725","22.9321165225375","27.3557677874861","30.8693451077531","37.747505379342","48.8229908404573","55.0994951361979","50.8954984745699","50.453642530982","53.3076194486364","58.3735266818559","57.9521327653411","57.731733499735","57.6190318871701","55.5589123224875","55.4294324253562","57.3276634662512","58.5373004391103","59.9008542403563","62.730845374403","65.5329526615173","67.5262942453774","68.633460905284","72.4662805671156","72.2721049385376","75.4081832583271","76.8631297768476","77.3895857302123","76.2287854808515","75.4180566151752","75.3051474317052","76.5397579394189","75.9319777619916","76.6138000065724","",
