"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Late-demographic dividend","LTE","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1152843757543","23.1507341267737","23.6487255663248","23.9404190956497","24.4080454213167","24.7518837207347","24.5455754205479","24.1508001704798","23.8087726625042","23.6673502874794","23.5449722063499","23.4470431520702","23.6240965119041","24.1995920703261","24.7584073862875","25.3133941341481","25.6785383642324","25.9111443916898","25.9159778800151","26.1117893562251","26.4396499139636","26.6487781523427","27.0014770776466","27.3814801295232","27.2359139320934","27.2391773839652","27.1609463895261","26.9042437542134",
"Late-demographic dividend","LTE","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.754045604219","22.8448675349718","23.3534533952174","23.6479006747189","24.1740469205406","24.5855883770773","24.4910360301326","24.135639744739","23.8353425166258","23.8060846456139","23.7449340840154","23.8194012028351","24.1085098370629","24.7765825037025","25.4283510221182","26.2114456075311","26.7640262108455","27.1980722415266","27.307127720226","27.6419628000137","28.1452057615612","28.4853051121581","28.9874528919665","29.4892537036759","29.422649736562","29.497674595592","29.5162406362676","29.3775087254932",
"Late-demographic dividend","LTE","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5690819118815","23.5350540722614","24.0209767322787","24.3085267366978","24.7016188991112","24.9606260932176","24.6145661242271","24.1708404162314","23.776274597336","23.494684457655","23.2964792066848","22.9838882586178","23.0196667256372","23.4774989817613","23.9180689464104","24.1842670114016","24.3064066525045","24.2782812660117","24.1451490577781","24.1522328181804","24.2537413549259","24.2971752312759","24.4549483773057","24.6770904513217","24.4252799369773","24.3325002803714","24.1273537417372","23.7080631849391",
"Late-demographic dividend","LTE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10119.9458988154","9772.38843198921","9882.86146988046","10066.5626187172","10572.612662606","10926.2361190231","11367.3686946301","11505.1409451937","11882.2491368315","12521.6447969469","13059.4565070216","13703.9358774449","14539.2174627131","15501.9164461032","16481.522247977","17807.5185474856","19360.3609338461","20525.3575753101","21063.8469709117","22537.8911215687","23917.1104937023","25094.9792573351","26321.7547349413","27452.1127583236","28500.6547042972","29678.6953325216","31071.3795293439","32584.0710368909",
"Late-demographic dividend","LTE","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4228265257222","24.112121129396","23.5879899131148","23.1537305430402","22.5864600107881","22.0700098496656","21.4615112224087","20.9370494235611","20.4350762301821","19.8601165996701","19.1959333717688","18.6324694780818","18.0331756056735","17.2778606910835","16.561142448955","15.8402932748932","15.1328200437229","14.4681474244929","13.890584504733","13.5450785173176","13.1523917903831","12.7370758292475","12.2318230615117","11.9526886821","11.3545957096223","10.9358522043286","10.597538145087","10.2598400662201",
"Late-demographic dividend","LTE","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5738418780875","14.2932333287007","13.8590975845645","13.5237173113217","13.0525306642203","12.6611120050645","12.1569807576033","11.8354645059407","11.5193515074839","11.1154300230465","10.7361187936342","10.4033184764528","10.0364214740787","9.54628718600958","9.09957299560005","8.65902068025318","8.264723471812","7.86193251854248","7.56317089407401","7.33518003689857","7.10862755036946","6.89084768929956","6.55555436370774","6.45172154792922","6.00422563713793","5.76317665407248","5.57175433349484","5.3750942814724",
"Late-demographic dividend","LTE","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.806585006563","36.4527637565935","35.8207229732927","35.2676222108555","34.5694886058754","33.8933937844759","33.1467116414168","32.3534096225625","31.5820358901458","30.7640747950324","29.7495652525594","28.8885830576422","28.012752411337","26.9528901269598","25.9208198344529","24.8759316075353","23.8083906700534","22.8526306793061","21.942596362359","21.4965652062836","20.897811006347","20.2233092963827","19.5108599155595","19.0098209987041","18.2320964607711","17.5938247763927","17.0712813178384","16.5716820374068",
"Late-demographic dividend","LTE","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0655562446875","41.5344146534667","42.1408489551469","42.5474537279204","43.0709187670129","43.7002745261945","44.0247811172586","44.4552540428087","44.7320444673543","45.4286880307892","46.2433361542501","46.9619789130547","47.7234040449365","48.715083110776","49.5494550005762","50.4711855338637","51.4076924203397","52.2180067451242","52.7883467668494","53.461062593786","54.0369043075185","54.6864828230224","55.1845451268055","55.8328447042539","56.3203160731296","56.7677236722359","57.277008698828","57.7328100557795",
"Late-demographic dividend","LTE","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.9190518465466","44.3817422137499","44.9764160032829","45.3874967925059","45.8875355347657","46.4571816411237","46.7182494774755","47.0120711138828","47.1958852101603","47.8380131727311","48.5758727618141","49.1762421944847","49.8357953808002","50.7350883945099","51.5463072949551","52.3784997725176","53.2747617971854","54.0322580657385","54.525161520829","55.0867288788387","55.5922274636321","56.0793124323516","56.4852127931865","57.0024881988851","57.3691840544984","57.7301573066576","58.155549178379","58.5432957324805",
"Late-demographic dividend","LTE","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4771513988912","37.9555141423395","38.5759584612283","38.9749834652614","39.5319486856361","40.2356757343492","40.6413557742681","41.2477817536666","41.6520791917551","42.4239161621331","43.3336402933511","44.202158115924","45.0866708334315","46.1872460629821","47.0440800646145","48.0703186586947","49.0502990004384","49.9149446046809","50.5785195600304","51.3786350989312","52.0436907273941","52.9033426527673","53.5168073816144","54.3335578103319","54.9725366087056","55.5282946710376","56.1457977043568","56.685549199925",
"Late-demographic dividend","LTE","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.6376403898721","56.1283706401754","55.4971579450473","55.0640785381737","54.4843077997807","53.8686787998526","53.4708162012634","53.0141056964541","52.7277404273092","51.9816655662826","51.1221165594699","50.3574184095302","49.5812956588652","48.5445008394972","47.658200420384","46.6737205185627","45.7391931303473","44.8160719634934","44.152939580672","43.5526066477167","43.0528639997341","42.364472442633","41.8288625145302","41.1849570607347","40.6254085685347","40.179649566156","39.647723796076","39.1736499220379",
"Late-demographic dividend","LTE","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.6986252308093","52.1806946487698","51.5529855871918","51.1186661954364","50.5506448616074","50.0170477705718","49.66880926675","49.3604533013622","49.1559145806153","48.4590917721915","47.6857633974657","47.0499183661841","46.3650105929915","45.429995536882","44.5704064888678","43.6692692851868","42.8086468361823","41.9277596838983","41.3237971754348","40.8776789183057","40.4983119554966","39.9616745007801","39.5213842165069","39.0127611759728","38.5707037871117","38.2322745494784","37.7751264609174","37.3775987125001",
"Late-demographic dividend","LTE","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5903907333178","61.0900236720632","60.456430644538","60.0278628489184","59.4288045977548","58.7089092250913","58.2461153771621","57.5962929306179","57.1934627583493","56.3731492118782","55.4090809538656","54.480841637912","53.5958356485057","52.4412990723804","51.5305224335081","50.4537318054052","49.4402976160522","48.4818447340862","47.7536841219622","46.9783146038257","46.3253466202796","45.4409294322136","44.7874676261704","43.9717742071921","43.2666649229841","42.6852644161098","42.0608776989659","41.4933302067719",
"Late-demographic dividend","LTE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.311560601383","71.2791695622528","70.9195652047983","70.4352602216783","70.177489100602","69.7168162631705","69.3239164826567","68.888484065078","68.693892073589","68.5980430055209","67.9999815673668","67.40246954542","66.6924193256557","66.411789998125","66.1404049755746","65.9413463051768","65.885330510206","65.6235882782728","65.1783889610881","65.0341707733566","65.0296926028707","65.015771268489","64.8879991640232","64.7812254708595","64.5061344940721","64.1019280546353","63.9060333177062","63.5939662764473",
"Late-demographic dividend","LTE","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.6033452066601","69.7628733619848","69.0033703330132","68.8136350238542","68.5377324661537","67.9608792870056","68.1099616537842","68.0052649007835","67.5479440897212","67.0492690201492","66.6393588565699","66.138913981262","66.144320945718","66.0533346461346","66.2007038267632","65.7044237235422","65.4661129558869","65.1431240032346","",
"Late-demographic dividend","LTE","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4155553040253","79.3844841491376","79.0004118029875","78.4828415085489","78.1648488535982","77.660892832676","77.2240461405879","76.7142526007688","76.3977034590393","76.2178639429051","75.5585362734693","74.8550020142374","74.102015675967","73.870427986953","73.6250760432148","73.4815406293824","73.5155066602486","73.3424519159002","72.9015927474035","72.9151106491679","72.922469638249","72.8631459970628","72.7562638356337","72.643923989261","72.3840802369946","71.9735469920327","71.7660956095496","71.5120129114701",
"Late-demographic dividend","LTE","Employment to population ratio, 15+, male (%) (national estimate)","SL.EMP.TOTL.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2032556781556","63.1726021590385","62.8380041484719","62.3885327007314","62.1902522092928","61.7756397030083","61.4315383554702","61.073088746649","61.003597178701","60.9939855369487","60.4550957623543","59.9624476124027","59.2937065517944","58.9612067014906","58.659479478283","58.4004417896595","58.2489206566988","57.8918625974828","57.4357518959025","57.1276049901656","57.1068566944426","57.1353545991635","56.9858824676236","56.8824066367883","56.5901425595874","56.1907383239096","56.0045820188406","55.6340980328551",
"Late-demographic dividend","LTE","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9344448445185","58.4655854303583","57.8591510388884","57.4525474836177","56.9290797974291","56.2997278174519","55.9752187280595","55.5447459580466","55.2679556423325","54.5713116103157","53.7566637565424","53.0380211867317","52.2765960755759","51.2849169727343","50.4505451472721","49.5288150603114","48.5923076633299","47.7819896512243","47.2116530907989","46.538937271297","45.9630957685242","45.3135170496056","44.81545486751","44.1671556819277","43.6796837850055","43.2322760447977","42.7229917287125","42.2671897631366",
"Late-demographic dividend","LTE","Self-employed, male (% of male employment) (modeled ILO estimate)","SL.EMP.SELF.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0809470429895","55.6182593321801","55.0235790020059","54.6124984911657","54.1124594340942","53.5428126543899","53.2817486523855","52.9879146369619","52.8040995009533","52.1619726645521","51.4241127074155","50.8237437979708","50.1641949234448","49.2649114807822","48.4536869796919","47.6215004503521","46.7252382006183","45.9677416946077","45.4748386849543","44.9132732117621","44.407770579027","43.9206795516845","43.5147873572477","42.9975108671893","42.6308191683798","42.2698421775762","41.8443714876058","41.4567043685418",
"Late-demographic dividend","LTE","Self-employed, female (% of female employment) (modeled ILO estimate)","SL.EMP.SELF.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.5228485119584","62.0444828419543","61.4240353982659","61.0250180970777","60.4680534105188","59.7643285490767","59.3586473658223","58.7522227564376","58.3479262427687","57.5760852796137","56.6663644789681","55.7978454985511","54.9133252827441","53.8127540520695","52.9559217223281","51.9296811519666","50.9497011972049","50.0850949038806","49.4214803440349","48.6213650496356","47.9563136099193","47.0966665621915","46.4831942618856","45.6664416698333","45.0274628843928","44.4717051393133","43.8542020973212","43.3144508593482",
