"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"OECD members","OED","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6058830449182","29.3476188441241","28.9487457967241","28.5294759365036","28.4067013786624","28.1693766168476","27.9211644247584","27.7179145985845","27.399472533456","27.3828312607055","26.8782384415492","26.2357036088261","25.9213241902812","25.6776703843655","25.4471859642925","25.4700579368588","25.4061020295651","24.9222883670656","23.6884758741552","23.3480360900565","23.3158540486298","23.1428263904314","23.0834855565052","23.1528510203859","23.0622006207106","22.9745857085542","22.8741971036689","22.6848356140172",
"OECD members","OED","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0902368765799","36.8885040256339","36.497941057313","36.3035116275801","36.3355137496181","36.1275143707826","35.9422838627982","35.8422138185467","35.5925348169966","35.7086873302004","35.2454957707609","34.6834409612443","34.4803331922148","34.307148936327","34.2927808496722","34.5127453084265","34.5311063260103","34.1238706152329","32.8671767696525","32.4446311140585","32.3218743947487","32.0954000073653","32.0522809184661","32.1094191584654","32.0105734782805","31.9410127355617","31.7536099659185","31.5533327645292",
"OECD members","OED","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7024888183588","18.4217589916742","18.0035175256118","17.409521305711","17.1155482773844","16.8932533610678","16.6075079981008","16.2998774954306","15.97716342678","15.8157147007691","15.3460478796125","14.6993145994832","14.3081436290442","13.9766357274463","13.5083632954236","13.3388940425159","13.2179945110303","12.7402314064813","11.777573083068","11.5577289906726","11.6172087247418","11.5481645934342","11.5296058074831","11.614955446439","11.5599046127718","11.4911220433831","11.5395366297299","11.370633188503",
