"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Other small states","OSS","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with advanced education (% of total labor force with advanced education)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3579961359288","23.2570654608953","24.6501945250869","25.3049941828379","25.9869968521869","26.4470408881936","27.3229108355871","26.7398847327612","27.016120087368","26.2159641633643","26.7768627290296","26.916368570944","27.5313152161207","26.625643082748","25.4901487725596","23.504453140106","22.4289029447615","21.6775688110904","23.7998599270466","24.5361068507313","23.6219093557892","23.0816615387827","23.8730172662887","23.3252246213305","23.5143987850027","23.2371081102835","22.7037156677259","22.5997143891886",
"Other small states","OSS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8231581990236","20.5742646765654","21.8615976699784","22.5211498116764","23.0583228194206","23.4822339734408","24.364018961748","23.8083252507764","24.143772172409","23.4777385409559","23.2524888755281","23.4963658591065","23.9531466034987","23.2544761037761","22.1351936707449","20.0154941917668","19.1260166750089","18.2772991873713","20.4701820071472","21.1098949804984","20.0526522686651","19.6128161744885","20.3385383481985","20.03534222485","20.097758972271","19.5088498093074","19.1611704388754","19.3333346857356",
"Other small states","OSS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8655505400796","26.9350663353467","28.4872000681899","29.1142318555758","29.995679538401","30.4819504083682","31.3317213914561","30.7055408023586","30.8601064921203","29.8854368862916","31.5038588481869","31.6368041932342","32.5506386352353","31.3791359818663","30.2855202430596","28.4999347540219","27.1542723234847","26.5258196816261","28.5544457315561","29.4307859679466","28.7767925864972","28.1059031356018","28.9103366024","28.0208853092928","28.2668487759225","28.3620039330431","27.6297871008034","27.1688124379552",
"Other small states","OSS","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6554127","6700032","6830895","6957112","7094790","7229150","7342464","7479694","7629681","7790911","7968489","8166690","8353698","8610969","8864258","9158132","9535475","9922825","10345420","10762228","11139690","11509997","11892720","12331720","12682685","13052510","13354518","13686882","13996788",
"Other small states","OSS","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8149024271272","38.8495573900415","38.9389945509361","39.0020600502047","39.1861829858506","39.2881044106154","39.4706707368727","39.7449227542032","39.8718793428246","40.079020304306","40.3246361199379","40.4007694181156","40.4572322341555","40.4064466604808","40.2901179094742","40.1313520854794","39.8056918623754","39.3447570973747","38.9067588452901","38.489660319406","38.1811556857647","38.0730106248516","38.1190762079659","38.2096121392322","38.1530488220751","38.1968036648274","38.044955126419","38.0445670533289","38.016019245557",
