"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Pre-demographic dividend","PRE","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.68988313985623","9.5767598276432","9.37601798954294","9.27175421199141","9.42518479262267","9.47612853931934","9.47590651168142","9.4512954667542","9.4835483126247","9.4004522895696","9.36465251519857","9.49347900200576","9.53870970350284","9.47761273965938","9.52624159429161","9.66444175077171","9.7882136395413","9.86912630707724","9.99030682094851","10.259138936354","10.5023372227396","10.6184791798059","10.7525802316128","10.8489432525659","10.8709058472582","10.7796814846567","10.827599108867","10.8913221946776",
"Pre-demographic dividend","PRE","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0428677866107","11.9149362289595","11.6490235086105","11.5028704864205","11.6962413457833","11.7537502368801","11.7526847299115","11.7388754594052","11.7698373589866","11.6596194985032","11.6215889717799","11.7761982156751","11.8537392414082","11.9303771164912","11.9980755786924","12.1358813767164","12.2500176371434","12.3293867192423","12.4454577015448","12.7493745528746","13.0108560332644","13.1015415348069","13.3679378394661","13.5780469274518","13.6923721084477","13.5933362768537","13.6784154846051","13.7859491050242",
"Pre-demographic dividend","PRE","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.704522977406","6.61036756830783","6.49771050077239","6.45195964618739","6.56045051820931","6.60410594784565","6.60564642667931","6.56994697858571","6.60795388101634","6.56093138104353","6.52239041293146","6.61165912099857","6.61293641706953","6.38377075761646","6.41407898190103","6.55863941302471","6.70323695661316","6.79062174273914","6.9102164123931","7.13254056515808","7.35727945156916","7.51174134025742","7.48781557553251","7.44423528972251","7.35753579072632","7.28314378497892","7.29689522721235","7.30756699116611",
"Pre-demographic dividend","PRE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6051.83964889678","5976.23222667073","5921.39999005601","5782.83401684706","5805.18933133127","5983.80814028506","6196.82050305487","6541.44917045816","6705.01068244962","6716.30465767777","6814.11620596459","6792.57379378329","6532.19484559713","7704.43176000167","7896.91583614063","8286.07559160976","8587.42929475936","8908.66191787167","9133.84801334784","9450.01699363152","9626.15186912314","9866.15355553979","10114.7076828463","10260.6026281029","10338.8583752763","10341.4626729967","10189.1068886958","10210.83138058",
