"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Netherlands (current US$)","DC.DAC.NLDL.CD","0","0","0","0","2900000","15270000","","10430000","11280000","10500000","20100000","16080000","20700000","32590000","66320000","97660000","96300000","142570000","214100000","185740000","253570000","278070000","194930000","140750000","154590000","133010000","186160000","227870000","251430000","210780000","279370000","230490000","224610000","144180000","161530000","220420000","184660000","185790000","154810000","75150000","69560000","242830000","233810000","221860000","-112090000","332280000","212450000","256620000","297500000","274840000","258070000","222290000","171510000","187280000","139120000","126010000","108850000","105020000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Luxembourg (current US$)","DC.DAC.LUXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1040000","1530000","1010000","1350000","1730000","2790000","1990000","5020000","3860000","4720000","3090000","9220000","7110000","4950000","5030000","9150000","7470000","9620000","10600000","11730000","13230000","12260000","9590000","11910000","11500000","8560000","10590000","11420000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)","DC.DAC.KORL.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","460000","620000","760000","410000","2030000","4280000","6450000","8350000","5030000","4750000","4110000","35140000","29460000","19670000","18390000","20970000","52300000","54200000","83750000","54210000","58430000","42700000","74900000","233660000","186530000","205690000","266090000","206250000","158560000","129350000","98460000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Japan (current US$)","DC.DAC.JPNL.CD","16520000","23680000","10290000","44070000","52050000","86250000","77890000","69270000","125310000","60870000","76580000","77360000","58060000","118300000","124040000","133820000","143960000","153390000","268430000","489060000","435340000","350200000","449710000","409730000","307840000","374850000","831360000","969910000","1109160000","1090640000","898290000","1542840000","988290000","958850000","1758060000","1434080000","1320010000","962740000","1461970000","1166200000","1129160000","1156820000","1190020000","1097020000","514380000","632600000","624460000","362670000","1044560000","1179110000","2277810000","2438890000","2423160000","2048470000","1855330000","1766230000","2052270000","3190630000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Italy (current US$)","DC.DAC.ITAL.CD","2990000","2450000","-3740000","700000","-3040000","290000","10000","2320000","150000","90000","9590000","16570000","44370000","23740000","-870000","12030000","3380000","25730000","6640000","-1550000","-4720000","-3550000","-4620000","-440000","10660000","19630000","99220000","67700000","122970000","114420000","34540000","40070000","4780000","59230000","10330000","6110000","-6290000","-8210000","-17150000","-11650000","-8440000","21350000","10900000","28710000","-42840000","52780000","40580000","69890000","151220000","103320000","84390000","99200000","96880000","86820000","47780000","121890000","62780000","75590000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Iceland (current US$)","DC.DAC.ISLL.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4040000","6400000","8410000","5300000","2320000","1570000","1370000","910000","910000","720000","930000","580000","510000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Ireland (current US$)","DC.DAC.IRLL.CD","","","","","","","","","","","","","","","360000","30000","100000","50000","80000","80000","50000","100000","120000","120000","140000","160000","260000","330000","670000","210000","250000","690000","420000","1040000","920000","2890000","2430000","2760000","2350000","2550000","2810000","7770000","10790000","9660000","10860000","27680000","18050000","26050000","26930000","19350000","21370000","19250000","16510000","11860000","9570000","7200000","6270000","7310000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Greece (current US$)","DC.DAC.GRCL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","80000","290000","70000","390000","2750000","9040000","9640000","10170000","25950000","14530000","23090000","15120000","21020000","2960000","1520000","1390000","700000","600000","430000","0","0","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","DC.DAC.GBRL.CD","86260000","72400000","82560000","87710000","125870000","95050000","121890000","114680000","92050000","83880000","119470000","163320000","149420000","116290000","180990000","169530000","215780000","185860000","326710000","429940000","366980000","457450000","170740000","253750000","249050000","187060000","273710000","196630000","273560000","273300000","300500000","346700000","332250000","215800000","245860000","322610000","331910000","322690000","383240000","328340000","377290000","409690000","688230000","863770000","1020680000","1142740000","1019700000","1333310000","1552660000","1547150000","1510890000","1687420000","1628600000","1867750000","1772030000","1748300000","1492550000","1293360000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, France (current US$)","DC.DAC.FRAL.CD","0","0","0","0","0","0","0","0","2500000","8900000","18000000","29100000","29190000","37500000","35650000","66580000","84940000","58700000","56230000","45630000","58520000","91100000","76760000","48750000","70510000","93370000","113890000","144050000","153860000","168210000","146470000","107390000","158610000","148620000","147590000","78400000","50210000","54170000","15280000","-3740000","32220000","27860000","-118580000","13880000","10570000","28110000","32240000","29960000","16040000","35430000","115440000","162290000","91790000","190180000","193480000","87120000","203630000","321980000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Finland (current US$)","DC.DAC.FINL.CD","","","","","","","","","","","0","920000","500000","310000","160000","210000","1230000","2010000","250000","640000","2640000","4820000","4140000","7540000","12310000","15250000","19260000","28360000","41990000","55900000","47110000","55640000","44940000","20760000","20450000","17170000","13390000","13110000","19580000","13300000","14090000","17500000","25570000","24100000","20470000","48470000","42690000","49920000","58230000","71900000","79810000","77320000","75230000","78010000","92180000","63500000","64470000","48090000","",
"South Asia","SAS","Net bilateral aid flows from DAC donors, Spain (current US$)","DC.DAC.ESPL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","17870000","24960000","4340000","70000","530000","3290000","13190000","24000000","8540000","6860000","5140000","-180000","10770000","19790000","-9949999","26860000","38680000","37310000","89360000","127970000","212390000","108810000","74810000","38490000","24000000","11320000","1750000","3760000","6990000","",
