"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Sub-Saharan Africa (excluding high income)","SSA","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Average transaction cost of sending remittances from a specific country (%)","SI.RMT.COST.OB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Average transaction cost of sending remittances to a specific country (%)","SI.RMT.COST.IB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Poverty gap at $5.50 a day (2011 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Rural poverty gap at national poverty lines (%)","SI.POV.RUGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Poverty gap at national poverty lines (%)","SI.POV.NAGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Poverty gap at $3.20 a day (2011 PPP) (%)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Domestic private health expenditure per capita, PPP (current international $)","SH.XPD.PVTD.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.0498610808454","67.7567469173141","65.779412020149","85.0715178624155","86.7544742495488","90.5783721403511","93.030965546894","97.3379516371962","99.5977881094312","105.724571654549","86.5761588047248","87.5388140783196","88.8969871627453","94.0899151102085","96.0453621829823","101.826885944106","103.78225293511","","",
"Sub-Saharan Africa (excluding high income)","SSA","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0635745231861","17.5812050137891","17.2038055254797","25.4951590982779","28.2075592711826","31.7424407812976","33.753741086513","37.0713846511851","39.9671413946977","38.3372514370735","42.5768916034633","45.0673682928616","45.4009643858808","47.0606522701928","47.2890516976818","44.5304834968076","41.4851559069689","","",
"Sub-Saharan Africa (excluding high income)","SSA","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3936771646891","59.7232912310106","61.7103002989915","63.5183908553836","58.0647929485354","58.1917306474436","54.9939556400592","53.9557341324045","54.0222421354122","52.5704308730473","51.2137055048759","50.2670314169986","50.4303025174201","51.2864246142344","51.8814084720912","52.0051410539347","53.1568157991638","","",
"Sub-Saharan Africa (excluding high income)","SSA","Out-of-pocket expenditure per capita, PPP (current international $)","SH.XPD.OOPC.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8340723757234","43.4204762700361","40.8456429653951","58.8729637144867","62.8040350653293","65.1451347924575","69.6595627165739","73.4960030538357","74.7477425088965","79.0103888500254","61.3160637440489","62.677931825587","62.318598114412","66.6564107080921","66.3823693065562","69.9222472018032","72.1235024001236","","",
"Sub-Saharan Africa (excluding high income)","SSA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2394021233917","9.80958264753095","9.88600610247712","14.9218264301061","16.7152355029966","19.0059318050857","22.3072584284691","25.1468890946467","28.194095581327","25.4870732608589","27.8478159558039","29.6940923393463","30.1064529400144","32.6890002245788","32.7584243522715","30.6870369535792","28.6822698062674","","",
"Sub-Saharan Africa (excluding high income)","SSA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4383777164292","33.3228501073498","35.460883852932","37.1756474809555","34.4075573053439","34.8419918724585","36.3441050663094","36.5997502390102","38.0900586337356","34.9275774969394","33.4965904692305","33.1199463657629","33.4413271609925","35.6240387359837","35.939247639758","35.8377841887078","36.7518033225755","","",
"Sub-Saharan Africa (excluding high income)","SSA","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5175159192673","36.0957210184782","31.8277918877633","36.1201652464518","45.1436378116079","46.7605872952672","52.3476989355099","58.3668029259857","59.9470001161737","61.8685306273032","56.6790927257199","59.3249333129007","62.3677419247678","63.5068413831418","64.6034955491832","70.2218699349769","68.9909800608722","","",
"Sub-Saharan Africa (excluding high income)","SSA","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3811416434049","10.016674385551","8.73879023340652","12.2033462438971","17.015263944138","18.6632263083679","22.0512795121662","25.3386661036921","26.7090855081898","26.7488070158469","30.521804466332","34.0528772970428","34.1748563620692","32.6504405776432","31.4999701176972","30.210793009606","27.3340990692127","","",
"Sub-Saharan Africa (excluding high income)","SSA","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.51119134271209","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.71675046288996","1.78484105417595","1.4736906386294","1.68045935456656","1.93480523616808","1.82522446650916","1.8862502703573","1.8944688790221","1.79218082760228","1.92636819694583","1.93160600477395","1.9621112533307","1.92682063386104","1.80776337015971","1.70813195330371","1.85352899024089","1.82104713785746","","",
"Sub-Saharan Africa (excluding high income)","SSA","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8873177283857","34.0262026435979","31.3455787365676","30.4025433368705","35.0248567861139","34.2137543205533","35.9272491339235","36.8792351544482","36.1167175636015","36.6845312148593","36.7131492378781","37.9817434531501","37.960558964138","35.5822188221994","34.5588286666689","35.2817450871483","35.0243540435083","","",
"Sub-Saharan Africa (excluding high income)","SSA","External health expenditure per capita, PPP (current international $)","SH.XPD.EHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.11497582917151","7.74882540901967","8.12015373029744","8.5879015198562","11.3808668912063","12.8835372116544","16.1605419290778","17.0002738188138","17.5491350434466","19.7437458052603","23.5946640134952","24.2532139088633","23.2011489238457","26.3476143239348","26.5361830326678","27.0264446276393","24.2469466076914","","",
"Sub-Saharan Africa (excluding high income)","SSA","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2425828186716","1.94348006521672","2.07278961360634","2.4400394776276","3.35693392727184","4.14254499996284","5.57193446165313","6.29685210947157","7.28488460587355","7.81915660280999","10.004505757519","10.5250844997103","10.4438703730874","11.9819921384304","12.0353355906372","10.8785794436082","9.12042216600822","","",
"Sub-Saharan Africa (excluding high income)","SSA","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.93364005556927","6.48713737053899","7.37439667564311","6.07920295137847","6.91035026547654","7.59451503317215","9.07842512468801","9.16503071197195","9.86104030217226","10.7450379123207","12.0340775411623","11.7394813172991","11.6009251660546","13.0581360136283","13.204393547735","12.7048197917643","11.6865245458913","","",
"Sub-Saharan Africa (excluding high income)","SSA","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.331060073432","111.199514749694","105.191005072072","129.779336355357","143.278981253299","150.222497897728","161.540308413974","172.70502925567","177.261553191631","187.530955947213","166.92633163159","171.142392228618","174.483053022368","184.119848119066","188.011429949379","199.092788888675","197.291324758141","","",
"Sub-Saharan Africa (excluding high income)","SSA","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5655894546132","29.437870933773","27.8784734135578","40.1384897775206","48.5797576715303","54.5482124308132","61.3771822138776","68.7069031160425","74.0183486020413","72.9703364745972","83.1356806197356","89.6558457261751","90.0270844020299","91.7602652215931","91.148580406857","85.6269549959016","78.0429343401554","","",
"Sub-Saharan Africa (excluding high income)","SSA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.06660101638801","5.21649210771729","4.6877397270503","5.52124566702305","5.51836436084295","5.34031240478411","5.25521793632431","5.14814501578232","4.95294123154192","5.27501191323293","5.26581397594707","5.14851732960757","5.06507259255006","5.06298619479265","4.92742290533458","5.25397404667654","5.15438161064316","","",
"Sub-Saharan Africa (excluding high income)","SSA","Newborns protected against tetanus (%)","SH.VAC.TTNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","16.2959036091107","20.4305471851612","25.4484046311281","29.672401347424","34.6493860694831","40.1991986747741","44.9147771759245","44.8078760761648","45.239068894136","46.9513952331573","49.0179559679793","52.4359757351727","52.1231681348798","55.267718922438","56.6075319798723","57.8823669453669","61.5983804192483","62.9364106388548","66.7028478494216","68.6305883700935","70.6609775585482","72.3954279764384","74.4087290857131","75.5570807705876","77.5067448493268","81.1526986743828","79.4182473059728","76.045376066544","74.3744481431006","75.1817071445347","76.2943907712427","77.0654578143753","77.1125477107047","79.6988910729711","",
"Sub-Saharan Africa (excluding high income)","SSA","UHC service coverage index","SH.UHC.SRVS.CV.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2319165392924","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.25.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6274958542205","","","","","2.09641403518355","","","","","2.53464955296409","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.25.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10802000","","","","","15650000","","","","","21941000","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.10.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.61392118465966","","","","","9.58318508053938","","","","","10.2618369252578","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.10.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57116000","","","","","72594000","","","","","89031000","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.10460537454639","","","","","1.3532480761032","","","","","1.43287286604766","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP2.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP2.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13969000","","","","","10249000","","","","","12426000","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.32455277635743","","","","","1.5620304732242","","","","","1.60733676957391","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15430000","","","","","11831000","","","","","13940000","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","62638153162.112","59556116949.0366","51417687856.6858","49602942030.8999","53511611597.8793","56359900990.8492","63186532722.4598","66626646549.0291","63093273950.9266","64516282788.6885","65758187278.7413","59407983437.4058","53841251093.1619","52017171096.8073","60027832756.9942","64597816691.8863","69126172096.7703","68440931363.2107","65465305913.0216","65672322762.6546","66771497025.1204","86429849734.0842","94492129744.943","101803062162.528","120750736611.427","144251723991.482","168158122998.157","208288886260.768","204408584826.27","222029247764.841","239025232160.801","268747165417.609","287406118658.74","305769310022.44","295604388433.281","282496581017.992","300815041123.974","",
"Sub-Saharan Africa (excluding high income)","SSA","Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","834.414897028456","788.455421770945","814.807413754907","796.410380082852","799.371011311493","847.27744945908","855.005684505046","855.307624513997","873.816534208461","855.906501106515","868.845613944313","988.948672821477","994.586769736369","1011.96190542882","1039.26692232682","1070.37680601186","1104.54903567536","1156.68314866637","1179.87247920356","1220.94147254974","1238.11953971699","1294.86473571186","1306.2076884607","1342.79777386732","1363.42386510524","1370.49433723861","","",
"Sub-Saharan Africa (excluding high income)","SSA","Trade (% of GDP)","NE.TRD.GNFS.ZS","44.1894544968441","42.9498008079886","41.3179388237077","42.8501106806869","43.7533452255943","44.2617034821173","42.0500019309224","43.2242951297246","42.6407645565331","41.9052018789046","40.8299063950529","42.6588810724095","42.2101987142286","44.1878592221401","52.2365866813536","51.624033991251","51.9944619241257","52.8745192857895","52.5185180068184","53.8689877130851","57.675903859588","48.0777040162047","43.8211702151841","39.6994055340082","41.0407664861852","42.8864598965438","40.4751400696956","42.6249210632101","41.4046542188654","45.1931055294943","42.5756634134778","42.4487592836259","43.1639554098142","43.3066631834677","44.9040323964566","49.9938545614653","50.6213610223494","52.8530646350153","50.3514206588761","48.0841386680834","61.9519535798794","62.8492044879318","59.512093966818","58.9387996221808","56.3907910480845","59.0560327001982","61.3004220551071","63.5127759730279","68.2091684356069","59.491195782022","61.8913835762805","65.9511962599747","63.1458337649545","59.3688078756614","58.0521425116348","52.963697787441","51.2530886978119","51.0966222919048","",
