"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Upper middle income","UMC","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Upper middle income","UMC","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","","7.3","7.2","","","",
"Upper middle income","UMC","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Upper middle income","UMC","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Upper middle income","UMC","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Upper middle income","UMC","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20411560","5173310","21495200","7454396","6686800","6399540","4372370","4127252","9158104","7372279","",
"Upper middle income","UMC","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Upper middle income","UMC","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3987","3070","","","","","","11847","","","",
"Upper middle income","UMC","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","31.9785292623081","33.32732155472","34.9153855710115","34.6153156761321","35.6603147594755","38.635261164071","37.6408791706956","37.4537521990936","36.0328595055003","37.0166550561587","38.6236550740647","40.0099538898304","39.4035895416876","41.5747170840157","43.84000756395","29.7771465462775","33.1963845357547","32.8184610383553","32.720866657705","33.7209572235749","34.6407509737208","39.2088490000126","40.9935360196151","41.2958659280912","41.1651015007112","38.1306918521973","36.8688681101474","39.1116403079759","41.6890261973018","35.5169365389079","35.8599652339223","36.1294391796586","33.7978779490069","33.9395665796546","34.3345682894329","31.5470752974566","",
"Upper middle income","UMC","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","42.3546459003374","43.8668846778361","39.2007255813673","39.1730765066604","34.2331046073915","33.3670506572682","38.5327805058923","34.0724060447688","36.5825569487346","28.191249154786","24.64128941581","20.8915052178593","24.6293771673242","24.1630794347233","21.452167861441","15.7075358353328","15.2952239584813","15.4561728755404","16.2524893868956","16.0826663533793","15.9833395517226","19.3764326074606","20.1428087201343","22.5132378380779","23.5554482477475","24.2379025388432","25.3757437583026","21.2063305108519","25.5805198860441","20.6133113308732","20.9139148086328","20.2054253012795","19.5947704974303","19.5248625764009","19.5103501485338","19.7495945877549","",
"Upper middle income","UMC","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0223535485393","15.2888371695824","15.1773500205156","15.7071099573927","17.8587138338215","19.9717716487855","20.9940540422005","20.3579389783076","21.1857625914651","21.829731086202","21.2960632017716","20.5508667236496","20.7812215964179","19.6344477733342","17.5249053202137","20.1558733874403","19.3789858546975","17.611211920517","18.7760718266299","19.2486017724697","19.3554399056957","20.4324962949595","19.5586802809873","17.7036605113013","",
"Upper middle income","UMC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119119874920","152584833207","149388464075","170501652754","218381644168","286532184189","348549373831","422494861253","456429138927","476994007173","443787075358","566864678900","624469165949","677677012602","734614292875","742783967484","721757041084","665288073975","632045020708","",
"Upper middle income","UMC","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","30519212789.0645","30170262534.7467","32349560681.4834","32782439485.4311","34249546559.7667","40389240258.9735","48134233019.4556","54548847428.8198","64201302885.7591","68062667458.7242","79642193338.8408","91299575907.6754","106242060917.53","123743475140.163","136723029702.532","189206415685.641","184825662789.728","182716542626.92","205509463567.176","213651382617.045","232650679545.994","207294908852.379","258657066783.612","291273302871.54","334071295480.776","415649260618.511","486519250471.912","427559685695.704","446039475176.882","578007515883.378","601659719155.913","641893731579.9","667609417381.916","637147562638.242","628324564646.159","667840195612.817","",
"Upper middle income","UMC","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","25.6707375147033","22.80984614381","25.8875096229645","26.2152260387437","30.106580633133","27.9976881786608","23.8263403234121","28.4738417561376","27.430983760126","34.8278527211287","36.766872918551","39.1252994816675","36.0062486934711","34.2889922137405","34.7315858854336","54.5327159365309","51.5253107696789","51.7424633884195","51.0266439553994","50.1963764230458","49.3759094745566","41.4147183925268","38.8636552602505","36.1908962338308","35.2794502515414","37.6314056089595","37.75538813155","39.6820291811722","32.7304539166541","44.3414751993316","43.7023990092683","44.1461336895134","47.057309237981","46.9874148564999","46.6124876500333","48.7033301147885","",
"Upper middle income","UMC","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
